,date,ecomm_name,name,src,price_1,price_2
22,17-01-2023,elclon,YERBA MATE SALUD Y FLORA 1K COMPUESTA,https://f.fcdn.app/imgs/51b6c2/www.elclon.com.uy/clonuy/af96/webp/catalogo/84431-1/460_460/yerba-mate-salud-y-flora-1k-compuesta-yerba-mate-salud-y-flora-1k-compuesta.jpg,209,
23,17-01-2023,elclon,YERBA EL MONCAYO 500G COMP C/TILO,https://f.fcdn.app/imgs/dc52b1/www.elclon.com.uy/clonuy/9b18/webp/catalogo/30408-1/460_460/yerba-el-moncayo-500g-comp-c-tilo-yerba-el-moncayo-500g-comp-c-tilo.jpg,98,
24,17-01-2023,elclon,YERBA SARA CLASICA 200G (ROJA),https://f.fcdn.app/imgs/3c0912/www.elclon.com.uy/clonuy/6f6e/webp/catalogo/28120-1/460_460/yerba-sara-clasica-200g-roja-yerba-sara-clasica-200g-roja.jpg,46,
25,17-01-2023,elclon,YERBA MATE FLOR VERDE EXTRA SUAVE 500G,https://f.fcdn.app/imgs/a0b60a/www.elclon.com.uy/clonuy/e37c/webp/catalogo/29560-1/460_460/yerba-mate-flor-verde-extra-suave-500g-yerba-mate-flor-verde-extra-suave-500g.jpg,89,
26,17-01-2023,elclon,YERBA DEL CEBADOR INTENSO 70G,https://f.fcdn.app/imgs/dd86f5/www.elclon.com.uy/clonuy/7a42/webp/catalogo/24135-1/460_460/yerba-del-cebador-intenso-70g-yerba-del-cebador-intenso-70g.jpg,15,
27,17-01-2023,elclon,YERBA SERRANA COMPUESTA 100GR,https://f.fcdn.app/imgs/5fe32c/www.elclon.com.uy/clonuy/8fbb/webp/catalogo/24589-1/460_460/yerba-serrana-compuesta-100gr-yerba-serrana-compuesta-100gr.jpg,15,
28,17-01-2023,elclon,YERBA DEL CEBADOR 70 GR,https://f.fcdn.app/imgs/73b55b/www.elclon.com.uy/clonuy/8ce8/webp/catalogo/8067-1/460_460/yerba-del-cebador-70-gr-yerba-del-cebador-70-gr.jpg,15,
29,17-01-2023,elclon,YERBA CABRAL 500G COMPUESTA,https://f.fcdn.app/imgs/adb9ec/www.elclon.com.uy/clonuy/5034/webp/catalogo/1269-1/460_460/yerba-cabral-500g-compuesta-yerba-cabral-500g-compuesta.jpg,105,
30,17-01-2023,elclon,YERBA CABRAL 500G NERVIOSOS,https://f.fcdn.app/imgs/b3de39/www.elclon.com.uy/clonuy/fb0c/webp/catalogo/8217-1/460_460/yerba-cabral-500g-nerviosos-yerba-cabral-500g-nerviosos.jpg,105,
31,17-01-2023,elclon,YERBA CABRAL 1K NERVIOSOS,https://f.fcdn.app/imgs/274b94/www.elclon.com.uy/clonuy/f54d/webp/catalogo/87273-1/460_460/yerba-cabral-1k-nerviosos-yerba-cabral-1k-nerviosos.jpg,205,
32,17-01-2023,elclon,YERBA MATE FLOR VERDE CLASICA 500G,https://f.fcdn.app/imgs/be4736/www.elclon.com.uy/clonuy/4a79/webp/catalogo/29561-1/460_460/yerba-mate-flor-verde-clasica-500g-yerba-mate-flor-verde-clasica-500g.jpg,89,
33,17-01-2023,elclon,YERBA CANARIAS 100G SERENA,https://f.fcdn.app/imgs/3d4ef4/www.elclon.com.uy/clonuy/8656/webp/catalogo/24521-1/460_460/yerba-canarias-100g-serena-yerba-canarias-100g-serena.jpg,26,
34,17-01-2023,elclon,YERBA EL MONCAYITO 500G COMPUESTA,https://f.fcdn.app/imgs/4ec279/www.elclon.com.uy/clonuy/a180/webp/catalogo/23775-1/460_460/yerba-el-moncayito-500g-compuesta-yerba-el-moncayito-500g-compuesta.jpg,92,
35,17-01-2023,elclon,YERBA EL MONCAYO 1K COMP. C/GINKGO,https://f.fcdn.app/imgs/289354/www.elclon.com.uy/clonuy/6800/webp/catalogo/26961-1/460_460/yerba-el-moncayo-1k-comp-c-ginkgo-yerba-el-moncayo-1k-comp-c-ginkgo.jpg,199,
36,17-01-2023,elclon,YERBA CANARIAS 1K TE VERDE Y JENGIBRE,https://f.fcdn.app/imgs/d547a4/www.elclon.com.uy/clonuy/5162/webp/catalogo/28666-1/460_460/yerba-canarias-1k-te-verde-y-jengibre-yerba-canarias-1k-te-verde-y-jengibre.jpg,205,
37,17-01-2023,elclon,YERBA CONTIGO C/HIERBAS 500G,https://f.fcdn.app/imgs/1b758f/www.elclon.com.uy/clonuy/7719/webp/catalogo/28759-1/460_460/yerba-contigo-c-hierbas-500g-yerba-contigo-c-hierbas-500g.jpg,103,
38,17-01-2023,elclon,YERBA CANARIAS 250G CLASICA,https://f.fcdn.app/imgs/b991e0/www.elclon.com.uy/clonuy/8d43/webp/catalogo/12915-1/460_460/yerba-canarias-250g-clasica-yerba-canarias-250g-clasica.jpg,54,
39,17-01-2023,elclon,YERBA CANARIAS 100G CLASICA,https://f.fcdn.app/imgs/dd775c/www.elclon.com.uy/clonuy/7b30/webp/catalogo/12916-1/460_460/yerba-canarias-100g-clasica-yerba-canarias-100g-clasica.jpg,23,
40,17-01-2023,elclon,YERBA CANARIAS CONTIGO 500G,https://f.fcdn.app/imgs/1b2463/www.elclon.com.uy/clonuy/db17/webp/catalogo/15751-1/460_460/yerba-canarias-contigo-500g-yerba-canarias-contigo-500g.jpg,96,
41,17-01-2023,elclon,YERBA CANARIAS 500G TE VERDE/JENGIBRE,https://f.fcdn.app/imgs/2d1e46/www.elclon.com.uy/clonuy/2107/webp/catalogo/28667-1/460_460/yerba-canarias-500g-te-verde-jengibre-yerba-canarias-500g-te-verde-jengibre.jpg,110,
42,17-01-2023,elclon,YERBA CANARIAS 1K TE ROJO/CENTELLA,https://f.fcdn.app/imgs/f3592c/www.elclon.com.uy/clonuy/3ce7/webp/catalogo/28668-1/460_460/yerba-canarias-1k-te-rojo-centella-yerba-canarias-1k-te-rojo-centella.jpg,205,
43,17-01-2023,elclon,YERBA CANARIAS 500G TE ROJO/CENTELLA,https://f.fcdn.app/imgs/6e93c6/www.elclon.com.uy/clonuy/79d7/webp/catalogo/28669-1/460_460/yerba-canarias-500g-te-rojo-centella-yerba-canarias-500g-te-rojo-centella.jpg,110,
44,17-01-2023,elclon,YERBA CANARIAS 500G SERENA,https://f.fcdn.app/imgs/93a081/www.elclon.com.uy/clonuy/b45c/webp/catalogo/92054-1/460_460/yerba-canarias-500g-serena-yerba-canarias-500g-serena.jpg,110,
45,17-01-2023,elclon,YERBA CONTIGO C/HIERBAS 1 KG,https://f.fcdn.app/imgs/c303e2/www.elclon.com.uy/clonuy/4053/webp/catalogo/943447-1/460_460/yerba-contigo-c-hierbas-1-kg-yerba-contigo-c-hierbas-1-kg.jpg,192,
46,17-01-2023,elclon,YERBA DEL CEBADOR INTENSO 500 GRS.,https://f.fcdn.app/imgs/a7697c/www.elclon.com.uy/clonuy/7a42/webp/catalogo/23928-1/460_460/yerba-del-cebador-intenso-500-grs-yerba-del-cebador-intenso-500-grs.jpg,79,
47,17-01-2023,elclon,YERBA DEL CEBADOR 500 GRS.,https://f.fcdn.app/imgs/6ca76a/www.elclon.com.uy/clonuy/8ce8/webp/catalogo/92462-1/460_460/yerba-del-cebador-500-grs-yerba-del-cebador-500-grs.jpg,79,
48,17-01-2023,elclon,YERBA SERRANA COMPUESTA 500 GRS,https://f.fcdn.app/imgs/79fbed/www.elclon.com.uy/clonuy/8fbb/webp/catalogo/946739-1/460_460/yerba-serrana-compuesta-500-grs-yerba-serrana-compuesta-500-grs.jpg,75,
49,17-01-2023,elclon,YERBA SARA CLASICA 500G (ROJA),https://f.fcdn.app/imgs/48f10c/www.elclon.com.uy/clonuy/6f6e/webp/catalogo/946041-1/460_460/yerba-sara-clasica-500g-roja-yerba-sara-clasica-500g-roja.jpg,99,
50,17-01-2023,elclon,YERBA SARA CLASICA 1K (ROJA),https://f.fcdn.app/imgs/5b1c58/www.elclon.com.uy/clonuy/6f6e/webp/catalogo/946042-1/460_460/yerba-sara-clasica-1k-roja-yerba-sara-clasica-1k-roja.jpg,185,
51,17-01-2023,elclon,YERBA CANARIAS CONTIGO 1 KG,https://f.fcdn.app/imgs/91bf8f/www.elclon.com.uy/clonuy/143d/webp/catalogo/15752-1/460_460/yerba-canarias-contigo-1-kg-yerba-canarias-contigo-1-kg.jpg,179,
52,17-01-2023,elclon,YERBA EL MONCAYO 1K COMP COMPAÑERA,https://f.fcdn.app/imgs/be14c3/www.elclon.com.uy/clonuy/25ff/webp/catalogo/22485-1/460_460/yerba-el-moncayo-1k-comp-companera-yerba-el-moncayo-1k-comp-companera.jpg,165,
53,17-01-2023,elclon,YERBA EL MONCAYITO 1K COMPUESTA,https://f.fcdn.app/imgs/a25ed5/www.elclon.com.uy/clonuy/a180/webp/catalogo/23776-1/460_460/yerba-el-moncayito-1k-compuesta-yerba-el-moncayito-1k-compuesta.jpg,182,
54,17-01-2023,elclon,YERBA EL MONCAYO 500G COMP C/GINKGO,https://f.fcdn.app/imgs/baf6fa/www.elclon.com.uy/clonuy/1236/webp/catalogo/26962-1/460_460/yerba-el-moncayo-500g-comp-c-ginkgo-yerba-el-moncayo-500g-comp-c-ginkgo.jpg,105,
55,17-01-2023,elclon,YERBA EL MONCAYO 500G COMP VERSE BIEN,https://f.fcdn.app/imgs/059c6c/www.elclon.com.uy/clonuy/ee56/webp/catalogo/28600-1/460_460/yerba-el-moncayo-500g-comp-verse-bien-yerba-el-moncayo-500g-comp-verse-bien.jpg,98,
56,17-01-2023,elclon,YERBA MATE FLOR VERDE CLASICA 1KG,https://f.fcdn.app/imgs/10c039/www.elclon.com.uy/clonuy/fb0a/webp/catalogo/29559-1/460_460/yerba-mate-flor-verde-clasica-1kg-yerba-mate-flor-verde-clasica-1kg.jpg,159,
57,17-01-2023,elclon,YERBA CANARIAS 1K SERENA,https://f.fcdn.app/imgs/90d00b/www.elclon.com.uy/clonuy/d09c/webp/catalogo/92055-1/460_460/yerba-canarias-1k-serena-yerba-canarias-1k-serena.jpg,205,
58,17-01-2023,elclon,YERBA DEL CEBADOR 1KG.,https://f.fcdn.app/imgs/23261c/www.elclon.com.uy/clonuy/95ba/webp/catalogo/92461-1/460_460/yerba-del-cebador-1kg-yerba-del-cebador-1kg.jpg,149,
59,17-01-2023,elclon,YERBA CABRAL 1K SILUETA IDEAL,https://f.fcdn.app/imgs/a47f45/www.elclon.com.uy/clonuy/408d/webp/catalogo/87272-1/460_460/yerba-cabral-1k-silueta-ideal-yerba-cabral-1k-silueta-ideal.jpg,205,
60,17-01-2023,elclon,YERBA CABRAL 500G SILUETA IDEAL,https://f.fcdn.app/imgs/46ede1/www.elclon.com.uy/clonuy/408d/webp/catalogo/97248-1/460_460/yerba-cabral-500g-silueta-ideal-yerba-cabral-500g-silueta-ideal.jpg,105,
61,17-01-2023,elclon,YERBA BALDO 1 KG,https://f.fcdn.app/imgs/fa8c11/www.elclon.com.uy/clonuy/aa3d/webp/catalogo/12913-1/460_460/yerba-baldo-1-kg-yerba-baldo-1-kg.jpg,185,
62,17-01-2023,elclon,YERBA BALDO 500 GRS,https://f.fcdn.app/imgs/c24c48/www.elclon.com.uy/clonuy/bdd7/webp/catalogo/12914-1/460_460/yerba-baldo-500-grs-yerba-baldo-500-grs.jpg,98,
63,17-01-2023,elclon,YERBA ARMIÑO CLASICA 1KG,https://f.fcdn.app/imgs/8d34ee/www.elclon.com.uy/clonuy/da75/webp/catalogo/27729-1/460_460/yerba-armino-clasica-1kg-yerba-armino-clasica-1kg.jpg,179,
64,17-01-2023,elclon,YERBA ARMIÑO SUAVE 1 KG,https://f.fcdn.app/imgs/38ceb1/www.elclon.com.uy/clonuy/d874/webp/catalogo/4304-1/460_460/yerba-armino-suave-1-kg-yerba-armino-suave-1-kg.jpg,179,
65,17-01-2023,elclon,YERBA ARMIÑO CLASICA 500 GR,https://f.fcdn.app/imgs/c05390/www.elclon.com.uy/clonuy/8488/webp/catalogo/83854-1/460_460/yerba-armino-clasica-500-gr-yerba-armino-clasica-500-gr.jpg,95,
66,17-01-2023,elclon,YERBA ARMIÑO COMPUESTA 1 KG,https://f.fcdn.app/imgs/b26a89/www.elclon.com.uy/clonuy/8fae/webp/catalogo/37376-1/460_460/yerba-armino-compuesta-1-kg-yerba-armino-compuesta-1-kg.jpg,189,
67,17-01-2023,elclon,YERBA TENERIFE 1 KG,https://f.fcdn.app/imgs/d654c7/www.elclon.com.uy/clonuy/614a/webp/catalogo/5771-1/460_460/yerba-tenerife-1-kg-yerba-tenerife-1-kg.jpg,109,
68,17-01-2023,elclon,YERBA TENERIFE 500 GR Q40-,https://f.fcdn.app/imgs/150675/www.elclon.com.uy/clonuy/71b4/webp/catalogo/5772-1/460_460/yerba-tenerife-500-gr-q40-yerba-tenerife-500-gr-q40.jpg,59,
69,17-01-2023,elclon,YERBA CANARIAS 1 KG,https://f.fcdn.app/imgs/95fec6/www.elclon.com.uy/clonuy/227c/webp/catalogo/83950-1/460_460/yerba-canarias-1-kg-yerba-canarias-1-kg.jpg,185,
70,17-01-2023,elclon,YERBA CANARIAS 500G CLASICA,https://f.fcdn.app/imgs/f40a22/www.elclon.com.uy/clonuy/5336/webp/catalogo/83951-1/460_460/yerba-canarias-500g-clasica-yerba-canarias-500g-clasica.jpg,98,
71,17-01-2023,elclon,GALLETA RELLENA TRUFILLS 160G CHOCOLATE,https://f.fcdn.app/imgs/ad033c/www.elclon.com.uy/clonuy/06c5/webp/catalogo/33089-1/460_460/galleta-rellena-trufills-160g-chocolate-galleta-rellena-trufills-160g-chocolate.jpg,69,
72,17-01-2023,elclon,GALLETA RELLENA TRUFILLS 160G MIXTAS,https://f.fcdn.app/imgs/6f5a79/www.elclon.com.uy/clonuy/f4fa/webp/catalogo/33090-1/460_460/galleta-rellena-trufills-160g-mixtas-galleta-rellena-trufills-160g-mixtas.jpg,69,
73,17-01-2023,elclon,GALLETA LA TRIGUEÑA 130G CHISPA BLANCA/ARANDANOS,https://f.fcdn.app/imgs/da2ff7/www.elclon.com.uy/clonuy/5dc3/webp/catalogo/32382-1/460_460/galleta-la-triguena-130g-chispa-blanca-arandanos-galleta-la-triguena-130g-chispa-blanca-arandanos.jpg,59,
74,17-01-2023,elclon,GALLETA LA TRIGUEÑA 135G CHISPAS CHOCOLATE,https://f.fcdn.app/imgs/bc770f/www.elclon.com.uy/clonuy/c812/webp/catalogo/32383-1/460_460/galleta-la-triguena-135g-chispas-chocolate-galleta-la-triguena-135g-chispas-chocolate.jpg,59,
75,17-01-2023,elclon,WAFFLE PIRAQUE 100G LIMON,https://f.fcdn.app/imgs/002c64/www.elclon.com.uy/clonuy/47da/webp/catalogo/32436-1/460_460/waffle-piraque-100g-limon-waffle-piraque-100g-limon.jpg,28,
76,17-01-2023,elclon,GALLETA RELLENA HIPOPO 110G CHOCOLATE,https://f.fcdn.app/imgs/5c6e46/www.elclon.com.uy/clonuy/6ada/webp/catalogo/85231-1/460_460/galleta-rellena-hipopo-110g-chocolate-galleta-rellena-hipopo-110g-chocolate.jpg,17,
77,17-01-2023,elclon,GALLETA RELLENA ESTRELA 120G CHOCOLATE,https://f.fcdn.app/imgs/a3c4db/www.elclon.com.uy/clonuy/64f1/webp/catalogo/32255-1/460_460/galleta-rellena-estrela-120g-chocolate-galleta-rellena-estrela-120g-chocolate.jpg,16,
78,17-01-2023,elclon,GALLETA RELLENA ESTRELA 120G FRUTILLA,https://f.fcdn.app/imgs/868ada/www.elclon.com.uy/clonuy/39db/webp/catalogo/32256-1/460_460/galleta-rellena-estrela-120g-frutilla-galleta-rellena-estrela-120g-frutilla.jpg,16,
79,17-01-2023,elclon,GALLETA SURTIDA EDRA 300 GR,https://f.fcdn.app/imgs/89e237/www.elclon.com.uy/clonuy/541c/webp/catalogo/32087-1/460_460/galleta-surtida-edra-300-gr-galleta-surtida-edra-300-gr.jpg,58,
80,17-01-2023,elclon,GALLETA ROSQUITA SAGRA 300G LECHE,https://f.fcdn.app/imgs/a8e524/www.elclon.com.uy/clonuy/403d/webp/catalogo/31908-1/460_460/galleta-rosquita-sagra-300g-leche-galleta-rosquita-sagra-300g-leche.jpg,47,
81,17-01-2023,elclon,GALLETA ROSQUITA SAGRA 300G CHOCOLATE,https://f.fcdn.app/imgs/a14ab1/www.elclon.com.uy/clonuy/84c0/webp/catalogo/31910-1/460_460/galleta-rosquita-sagra-300g-chocolate-galleta-rosquita-sagra-300g-chocolate.jpg,47,
82,17-01-2023,elclon,GALLETA DULCE PUNTA BALLENA 400G CHOCOLATE,https://f.fcdn.app/imgs/807769/www.elclon.com.uy/clonuy/dd52/webp/catalogo/31612-1/460_460/galleta-dulce-punta-ballena-400g-chocolate-galleta-dulce-punta-ballena-400g-chocolate.jpg,89,
83,17-01-2023,elclon,GALLETA RELLENA HIPOPO 110G VAINILLA,https://f.fcdn.app/imgs/2d5f5a/www.elclon.com.uy/clonuy/f274/webp/catalogo/4334-1/460_460/galleta-rellena-hipopo-110g-vainilla-galleta-rellena-hipopo-110g-vainilla.jpg,17,
84,17-01-2023,elclon,GALLETA RELLENA HIPOPO 110G FRUTILLA,https://f.fcdn.app/imgs/8479ce/www.elclon.com.uy/clonuy/b1b2/webp/catalogo/85223-1/460_460/galleta-rellena-hipopo-110g-frutilla-galleta-rellena-hipopo-110g-frutilla.jpg,17,
85,17-01-2023,elclon,GALLETA RELLENA HIPOPO 110G DULCE DE LECHE,https://f.fcdn.app/imgs/4f2b97/www.elclon.com.uy/clonuy/057b/webp/catalogo/85226-1/460_460/galleta-rellena-hipopo-110g-dulce-de-leche-galleta-rellena-hipopo-110g-dulce-de-leche.jpg,17,
86,17-01-2023,elclon,GALLETA RELL LULU 115G FRUTILLA,https://f.fcdn.app/imgs/9512aa/www.elclon.com.uy/clonuy/7fde/webp/catalogo/83653-1/460_460/galleta-rell-lulu-115g-frutilla-galleta-rell-lulu-115g-frutilla.jpg,55,
87,17-01-2023,elclon,GALLETA RELL LULU 115G CHANTILLY,https://f.fcdn.app/imgs/adeddf/www.elclon.com.uy/clonuy/8e77/webp/catalogo/97147-1/460_460/galleta-rell-lulu-115g-chantilly-galleta-rell-lulu-115g-chantilly.jpg,55,
88,17-01-2023,elclon,GALLETA PEPAS INTEGRALES 9 DE ORO 140G,https://f.fcdn.app/imgs/f5fe84/www.elclon.com.uy/clonuy/ad59/webp/catalogo/31593-1/460_460/galleta-pepas-integrales-9-de-oro-140g-galleta-pepas-integrales-9-de-oro-140g.jpg,49,
89,17-01-2023,elclon,GALLETA 9 DE ORO 120G COOKIES C/CHIPS,https://f.fcdn.app/imgs/89a500/www.elclon.com.uy/clonuy/ec98/webp/catalogo/31598-1/460_460/galleta-9-de-oro-120g-cookies-c-chips-galleta-9-de-oro-120g-cookies-c-chips.jpg,48,
90,17-01-2023,elclon,GALLETA 9 DE ORO 120G COOKIES C/CHIPS BLANCO,https://f.fcdn.app/imgs/81e043/www.elclon.com.uy/clonuy/2efe/webp/catalogo/31599-1/460_460/galleta-9-de-oro-120g-cookies-c-chips-blanco-galleta-9-de-oro-120g-cookies-c-chips-blanco.jpg,48,
91,17-01-2023,elclon,GALLETA 9 DE ORO 120G COOKIES C/CHIPS COLORES,https://f.fcdn.app/imgs/fd92ff/www.elclon.com.uy/clonuy/6b94/webp/catalogo/31600-1/460_460/galleta-9-de-oro-120g-cookies-c-chips-colores-galleta-9-de-oro-120g-cookies-c-chips-colores.jpg,48,
92,17-01-2023,elclon,GALLETA 9 DE ORO 420 GR AGRIDULCE,https://f.fcdn.app/imgs/14a4d9/www.elclon.com.uy/clonuy/607d/webp/catalogo/64638-1/460_460/galleta-9-de-oro-420-gr-agridulce-galleta-9-de-oro-420-gr-agridulce.jpg,89,
93,17-01-2023,elclon,GALLETA 9 DE ORO 200G AGRIDULCE,https://f.fcdn.app/imgs/c66acb/www.elclon.com.uy/clonuy/eb1a/webp/catalogo/64639-1/460_460/galleta-9-de-oro-200g-agridulce-galleta-9-de-oro-200g-agridulce.jpg,49,
94,17-01-2023,elclon,GALLETA TORTITA PORTEZUELO 130G FRUTILLA,https://f.fcdn.app/imgs/1c2927/www.elclon.com.uy/clonuy/b61d/webp/catalogo/25229-1/460_460/galleta-tortita-portezuelo-130g-frutilla-galleta-tortita-portezuelo-130g-frutilla.jpg,39,
95,17-01-2023,elclon,WAFFLE RELL ESTRELA 100G FRUTILLA,https://f.fcdn.app/imgs/16ff07/www.elclon.com.uy/clonuy/0496/webp/catalogo/31308-1/460_460/waffle-rell-estrela-100g-frutilla-waffle-rell-estrela-100g-frutilla.jpg,15,
96,17-01-2023,elclon,GALLETAS DANESAS LATA 114 GR BUTTER COOKIES,https://f.fcdn.app/imgs/684cdc/www.elclon.com.uy/clonuy/8119/webp/catalogo/946318-1/460_460/galletas-danesas-lata-114-gr-butter-cookies-galletas-danesas-lata-114-gr-butter-cookies.jpg,105,
97,17-01-2023,elclon,GALLETAS CACHAFAZ INTEGRALES GRANOLA 225G,https://f.fcdn.app/imgs/f70869/www.elclon.com.uy/clonuy/1fa2/webp/catalogo/25762-1/460_460/galletas-cachafaz-integrales-granola-225g-galletas-cachafaz-integrales-granola-225g.jpg,135,
98,17-01-2023,elclon,GALLETA ZABET 400G MAICENA,https://f.fcdn.app/imgs/cafa57/www.elclon.com.uy/clonuy/4e13/webp/catalogo/26399-1/460_460/galleta-zabet-400g-maicena-galleta-zabet-400g-maicena.jpg,59,
